"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","MOD2015A","MOD2015B","MOD2016A","MOD2016B","MOD2017A","MOD2017B","MOD2018A"
3613.22372068,23168005,23,"NULL",23168,"POT","COROZALITO","CHIMÁ","CÓRDOBA",25652,"",1,"2006",25389,29.7196030598006,28.039089751505,29.7339431709885,27.7769547824302,28.5975088233461,27.81856616255,29.0995620764052
1563.29462136,23672007,23,"NULL",23672,"ALCALDIA MUNICIPAL","SANTA ROSA","SAN ANTERO","CÓRDOBA",26104,"",1,"2007",25841,29.0898284754584,27.5962971927305,28.7413790411174,26.3742222442379,27.7486263805637,27.3816959481213,28.1750562686263
2590.87441859,23182010,23,"NULL",23182,"POT","EL PARAISO","CHINÚ","CÓRDOBA",25665,"",1,"2009",25402,31.0482262077003,28.9251352051226,30.9388614921583,28.0280692732496,29.6678929783743,28.0183735903149,30.4353600540113
1899.36927758,23162005,23,"NULL",23162,"POT","CORREGIMIENTO LOS VENADOS CAMPANITO","CERETÉ","CÓRDOBA",25643,"",1,"2010",25380,29.843385948082,28.066819837614,29.6952849897805,27.3919517912325,28.2674919136802,27.9452953128779,28.8314490358432
6291.66127894,23001048,23,"NULL",23001,"POT","EL TORNO","MONTERÍA","CÓRDOBA",25403,"",1,"2011",25140,29.494104090464,28.2914336082487,29.3754499654139,26.7759358587355,27.6109882504539,27.4161070777867,28.2736936335254
1372.83780019,23660037,23,"CAMBIO DE CODIGO Y NOMBRE DE MPIO",23660,"POT","LA QUEBRADA","SAHAGÚN","CÓRDOBA",26029,"",1,"2011",25766,30.7953176469101,28.5003933668038,30.365059105055,27.40186320215,29.2493719334064,27.5215679088052,29.9742038325304
4354.13923313,23068018,23,"NULL",23068,"CATASTRO IGAC","LA CEIBA ARRIBA","AYAPEL","CÓRDOBA",25543,"",1,"2012",25280,28.5421303532246,27.7023534952715,28.1571824196732,26.1291330110301,26.9970546869994,26.9607643128742,28.0944752679485
1824.79599708,23079027,23,"NULL",23079,"ESRI","PUERTO COLORADO","BUENAVISTA","CÓRDOBA",25585,"",1,"INDF",25322,29.1577544757175,28.0196318738561,28.7981614952299,26.6431821364954,27.8754334310262,27.3326005806818,28.859810015872
1736.39021326,23090021,23,"NULL",23090,"ESRI","CERRO FRONTERA","CANALETE","CÓRDOBA",25625,"CAMBIO DE NOMBRE EOT 2013",1,"INDF",25362,29.3220313336232,26.4647973258631,28.583638453515,26.1770432370779,27.0114521646317,27.0484084667671,27.3687843403225
8325.25145156,23189005,23,"NULL",23189,"DPS - ESRI","LAS PALMAS","CIÉNAGA DE ORO","CÓRDOBA",25698,"",1,"INDF",25435,30.0446684196225,28.1667648459827,30.0468072718469,27.3010201999216,28.260682453609,27.7303163660117,29.1824770457397
1838.15132567,23300004,23,"NULL",23300,"ESRI","EL BINDE","COTORRA","CÓRDOBA",25701,"",1,"INDF",25438,29.8316128491316,27.9720434562422,29.9908568829661,27.8593948712394,28.4047552975063,28.5948125371198,29.0815710364081
2661.70931344,23350011,23,"NULL",23350,"ESRI","EL PORVENIR","LA APARTADA","CÓRDOBA",25705,"CAMBIO DE NOMBRE EOT 2010",1,"INDF",25442,28.4941463703295,27.4804270821553,28.5024999012265,26.4347396339379,27.0931995135624,26.8593536638341,28.4248036995526
5502.50884316,23417007,23,"NULL",23417,"DPS - ESRI","CASTILLERAL","LORICA","CÓRDOBA",25715,"",1,"INDF",25452,30.4801434982374,28.128309019098,29.9193793244864,27.5484935428727,28.6948341122995,28.3062584559543,29.3505477426589
1575.38422118,23419020,23,"NULL",23419,"ESRI","SIN DEFINIR","LOS CÓRDOBAS","CÓRDOBA",25721,"CAMBIO DE NOMBRE INFORMACIÓN RURAL DANE",1,"INDF",25458,28.8668688561447,26.8233676307513,28.0159439400728,26.2189575499037,27.1226661514774,27.0681633472584,27.3475443507048
2881.11672086,23464007,23,"NULL",23464,"ESRI","CIENAGAS","MOMIL","CÓRDOBA",25739,"CAMBIO DE NOMBRE EOT PROPUESTO 2015",1,"INDF",25476,30.2420339790083,28.1724218922027,30.0739513828209,27.4683340680914,29.0929253673421,27.8019156635825,29.582015298422
1084.49835538,23466076,23,"NULL",23466,"TRABAJO EN CAMPO","SAN ANTONIO","MONTELÍBANO","CÓRDOBA",25744,"",1,"INDF",25481,27.0869414907832,26.4636814282803,26.8929650064299,25.3080111199929,25.9159270956078,25.5270809221589,26.5634094217496
2195.57368537,23500001,23,"NULL",23500,"DPS - ESRI","LAS MUJERES","MOÑITOS","CÓRDOBA",25837,"",1,"INDF",25574,29.1086309886731,27.3602953735363,28.4485738154387,26.668932751982,27.3494461932721,26.9962274973612,27.7112684842819
1198.46631125,23555048,23,"NULL",23555,"ESRI","GRACIAS A DIOS","PLANETA RICA","CÓRDOBA",25843,"CAMBIO DE NOMBRE INFORMACIÓN RURAL DANE",1,"INDF",25580,29.2179990522562,28.4487682540871,29.4990192847896,26.9383763955289,28.0230937121471,27.5833530063097,28.6288051212634
2299.07619758,23570002,23,"NULL",23570,"ESRI","EL CHIPAL","PUEBLO NUEVO","CÓRDOBA",25889,"",1,"INDF",25626,29.6873932724035,28.3442701458024,29.5296214128365,26.7083322668141,27.9437290766522,27.3639722282635,28.9610831787984
44284.0048153,23580060,23,"NULL",23580,"TRABAJO EN CAMPO","PARQUE NACIONAL NATURAL PARAMILLO","PUERTO LIBERTADOR","CÓRDOBA",25941,"",1,"INDF",25678,25.8050275631422,25.0453428390787,25.831441103723,24.1206714669787,24.6017437526458,24.4382479929468,25.3820897021192
2921.0294688,23586004,23,"NULL",23586,"ESRI","LOS CORRALES","PURÍSIMA DE LA CONCEPCIÓN","CÓRDOBA",26026,"",1,"INDF",25763,30.7106117944451,28.4942916210492,30.3221570246525,27.3905034545822,29.0944273595839,28.2065360471651,29.838529715754
