"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","SEMESTRE","TMEAN"
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2015A",22.3761056543603
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2015B",22.3456653751145
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2016A",22.7475116192769
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2016B",21.9976606996075
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2017A",21.7228702951348
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2017B",21.5654353991304
1088.55771671,50006029,50,"NULL",50006,"EOT_ACACIAS","MONTEBELLO","ACACÍAS","META",16808,"",1,"2009",16607,"2018A",22.3039418235642
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2015A",26.925452317483
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2015B",26.5784859923613
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2016A",27.2998279062198
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2016B",26.1329203528786
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2017A",25.8944524828281
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2017B",25.8530389118278
9661.02402412,50150002,50,"NULL",50150,"POT","ARENALES","CASTILLA LA NUEVA","META",16870,"",1,"2009",16669,"2018A",26.6790107167831
